isla;ubicacion;cuenta
Lanzarote;La Costa;5
Lanzarote;Tinguatón;45
Tenerife;Los Menores;5
Tenerife;San Juan de la Rambla;887
Lanzarote;La Asomada;123
La Palma;Las Indias;65
Tenerife;Los Llanos;30
La Palma;Puntallana;245
Tenerife;Ifonche;5
Tenerife;Masca;15
Tenerife;Alcalá;798
Tenerife;Puertito de Güímar;80
Tenerife;La Sabinita;10
Tenerife;Guaza;80
Gran Canaria;Sonnenland;45
Tenerife;Costa Adeje;20
Fuerteventura;Giniginámar;20
Gran Canaria;Arinaga;586
Fuerteventura;Cardón;160
Tenerife;Vera de Erque;89
La Palma;La Galga;45
El Hierro;Las Casas;120
Gran Canaria;Agaete;599
Lanzarote;Puerto Calero;335
Lanzarote;Mala;10
Tenerife;Montañeta;60
Gran Canaria;Cruce de Arinaga;80
Gran Canaria;Las Marciegas;5
Tenerife;Fasnia;255
Tenerife;Los Baldíos;5
La Gomera;Alojera;75
La Palma;El Pueblo;5
Fuerteventura;Lajares;695
La Palma;Los Llanos de Aridane;430
Gran Canaria;Playa del Cura;100
Tenerife;Los Realejos;759
Gran Canaria;Arucas;145
El Hierro;El Pinar de El Hierro;275
Lanzarote;Argana;5
Tenerife;Arico el Nuevo;25
El Hierro;Erese;110
El Hierro;Timijiraque;255
Gran Canaria;Las Casillas;44
La Palma;Las Manchas;50
Fuerteventura;La Lajita;360
Tenerife;San Isidro;304
Tenerife;La Corujera;10
Tenerife;Candelaria;821
El Hierro;Sabinosa;264
Tenerife;Las Galletas;180
La Gomera;Valle Gran Rey;214
Gran Canaria;San Bartolomé;1226
El Hierro;Pozo de las Calcosas;105
Tenerife;El Bailadero;70
Gran Canaria;Pasito Blanco;125
Tenerife;Santa Úrsula;255
Tenerife;Cabo Blanco;70
Tenerife;El Rosario;59
El Hierro;Los Llanillos;109
Tenerife;El Socorro;5
La Palma;El Paso;449
La Palma;Los Quemados;5
La Palma;Lomo Oscuro;30
La Palma;Lodero;45
Lanzarote;Playa Blanca;1617
Gran Canaria;Puerto de Mogán;438
Tenerife;Tamaimo;10
Gran Canaria;La Garita;79
El Hierro;Taibique;115
Tenerife;San Miguel;20
Tenerife;La Orotava;529
Fuerteventura;Valles de Ortega;115
Tenerife;Los Silos;1083
Tenerife;La Degollada;35
Tenerife;Cuevas del Palmar;70
Gran Canaria;Cabo Verde;70
La Palma;Puerto;5
Lanzarote;Yaiza;215
Tenerife;Abades;235
Tenerife;Buenavista del Norte;585
Gran Canaria;Melenara;40
La Gomera;San Sebastián de la Gomera;798
La Palma;San Andres y Sauces;70
Gran Canaria;Agüimes;415
Gran Canaria;El Cortijo;90
Gran Canaria;Playa del Águila;95
Gran Canaria;El Tablero;65
La Palma;Breña;20
Lanzarote;La Santa;190
Lanzarote;Uga;75
Gran Canaria;Artenara;125
Lanzarote;Caleta de Caballo;80
Fuerteventura;Vega de Río de Palmas;80
La Palma;Garafía;100
Lanzarote;Tinajo;131
Tenerife;Los Cristianos;1059
Fuerteventura;Costa de Antigua;609
Gran Canaria;Santa María de Guía de Gran Canaria;174
Tenerife;San Jose De Los Llanos;30
Fuerteventura;Morro del Jable;1545
Tenerife;Arona;1187
Tenerife;Los Campitos;5
Lanzarote;El Islote;5
Tenerife;Punta del Hidalgo;253
Tenerife;La Mareta;218
Gran Canaria;Las Rehoyas;24
Gran Canaria;Tafira;100
Tenerife;Lomo de Mena;30
Gran Canaria;Balcon de Telde;254
Tenerife;Acantilado de los Gigantes;70
La Palma;Villa de Mazo;405
La Gomera;Hermigua;420
Tenerife;Guamasa;20
La Palma;San Pedro;65
Gran Canaria;Campo Internacional, Maspalomas;220
El Hierro;Las Puntas;94
Tenerife;Las Vegas;5
Tenerife;Teno;100
Tenerife;Las Cruces;50
Tenerife;Genovés;60
Tenerife;El Guincho;55
Tenerife;Tanque;55
La Palma;Arecida;15
Fuerteventura;Tindaya;100
Fuerteventura;Caleta de Fuste;1610
Tenerife;Arico;135
La Palma;Velhoco;40
Lanzarote;San Bartolomé;150
Tenerife;Jama;25
La Palma;Puntagorda;215
Tenerife;Roque Negro;5
El Hierro;Valverde;952
Fuerteventura;Majanicho;175
Tenerife;Costa del Silencio;303
La Gomera;Imada;40
Tenerife;El Escobonal;5
Tenerife;Lomo de Arico;10
La Palma;Barlovento;70
Tenerife;San Miguel de Abona;2144
Fuerteventura;La Pared;120
Fuerteventura;El Roque;65
Lanzarote;Montaña Blanca;10
Tenerife;La Matanza de Acentejo;134
Gran Canaria;La Aldea de San Nicolas;719
El Hierro;Guarazoca;45
Gran Canaria;Juncalillo;10
Tenerife;El Médano;1028
Fuerteventura;Triquivijate;180
Fuerteventura;Tuineje;679
Gran Canaria;Sonnenland, Maspalomas;95
La Gomera;Playa Calera;5
Gran Canaria;Guayedra;20
Gran Canaria;Pozo Izquierdo;124
Lanzarote;Femés;5
Fuerteventura;Betancuria;229
Gran Canaria;El Risco;40
Tenerife;San Marcos;330
Tenerife;Vilaflor;613
Fuerteventura;La Oliva;396
Tenerife;Tejina de Isora;145
La Palma;El Tablado;95
La Palma;Tazacorte;185
Lanzarote;Los Pocillos;15
Gran Canaria;San Pedro;95
Tenerife;Puerto de la Madera;40
Tenerife;Callao Salvaje;464
Fuerteventura;El Matorral;190
Fuerteventura;Tarajalejo;185
El Hierro;Guinea;145
El Hierro;La Caleta;129
Tenerife;Barranco Hondo;5
Tenerife;Playa de San Juan;329
La Gomera;Cubaba;5
Lanzarote;Mácher;235
El Hierro;Betenama;85
La Palma;La Rosa;20
Tenerife;La Laguna;1965
Fuerteventura;Tesejerague;40
Tenerife;Almáciga;45
Gran Canaria;Triana;40
Tenerife;Güímar;548
Fuerteventura;La Asomada;25
Gran Canaria;Puerto de las Nieves;50
Fuerteventura;Las Playitas;35
Fuerteventura;Ajuy;30
La Palma;Las Tricias;30
Gran Canaria;Vega de San Mateo;1176
Gran Canaria;El Palmital;120
La Palma;San Antonio;55
El Hierro;Jarales;30
Gran Canaria;Mogán;664
Tenerife;Playa de las Américas;1070
La Gomera;Alajeró;125
Tenerife;Puerto de Santiago;958
Tenerife;Valle de Guerra;90
Lanzarote;Punta Mujeres;105
Tenerife;Tabaiba;100
La Palma;El Mudo;10
Gran Canaria;Aguatona;95
Gran Canaria;Moya;596
Gran Canaria;Salobre;70
La Gomera;Acardece;5
Gran Canaria;Maspalomas;1093
La Palma;Breña Baja;390
El Hierro;La Torre;159
Gran Canaria;Fataga;229
Gran Canaria;Telde;752
Gran Canaria;Arbejales;60
Tenerife;El Pris;85
Fuerteventura;Puerto del Rosario;2839
Tenerife;Playa Paraíso;99
Tenerife;Chayofa;240
Gran Canaria;Huertas del Palmar;30
Gran Canaria;Valleseco;204
Lanzarote;Arrieta;275
Lanzarote;Arrecife;1115
El Hierro;San Andrés;10
Tenerife;La Victoria de Acentejo;75
Gran Canaria;Valsequillo;570
Tenerife;San Pedro de Daute;10
Lanzarote;La Vegueta;5
Fuerteventura;Casillas del Ángel;75
Lanzarote;Ye;5
Gran Canaria;El Albercón;5
La Palma;Los Cancajos;163
La Gomera;El Cedro;15
Gran Canaria;Puerto Rico de Gran Canaria;1284
Gran Canaria;Tejeda;636
Tenerife;Playa de Fañabé;60
Lanzarote;Playa Honda;120
El Hierro;Tajace de Abajo;168
El Hierro;Mocanal;931
La Palma;Santa Cruz de la Palma;1050
Lanzarote;Mozaga;5
Gran Canaria;San Felipe;5
Tenerife;Icod de los Vinos;1496
Tenerife;El Sauzal;190
Fuerteventura;Costa Calma;1430
Tenerife;Los Pinos;5
Tenerife;María Jiménez;70
La Palma;Breña Alta;225
Tenerife;Santa Cruz de Tenerife;4335
Lanzarote;Los Valles;10
Lanzarote;El Golfo;60
El Hierro;Tamaduste;272
La Palma;Jedey;20
Gran Canaria;Taurito;155
Tenerife;Taganana;30
Lanzarote;Tahiche;50
Lanzarote;Famara;115
Tenerife;Porís de Abona;37
Fuerteventura;Cotillo;453
Gran Canaria;Las Palmas de Gran Canaria;10592
Gran Canaria;Castillo del Romeral;45
Tenerife;Puntillo del Sol;35
La Gomera;Playa de Santiago;190
La Palma;Roque del Faro;25
Tenerife;Adeje;3135
Tenerife;Granadilla de Abona;639
Tenerife;La Listada;30
Tenerife;Buzanada;294
Tenerife;Arico Viejo;19
Gran Canaria;Firgas;402
Tenerife;Santiago del Teide;135
Tenerife;Radazul;65
Fuerteventura;Tiscamanita;5
Gran Canaria;San José de Caideros;115
Tenerife;La Tejita;115
Lanzarote;Nazaret;50
Tenerife;La Guancha;255
Tenerife;La Paz;25
La Palma;Tijarafe;120
Lanzarote;Haría;115
El Hierro;Las Rosas;145
La Palma;La Esquinita;5
Lanzarote;Teseguite;30
La Gomera;Arure;55
Gran Canaria;Playa del Águila, San Agustín;123
Lanzarote;Güime;115
Fuerteventura;Playa de Jandía;460
Fuerteventura;Tetir;30
Tenerife;La Jaca;74
Tenerife;Armeñime;93
Tenerife;Montijos;5
La Palma;Puerto de Tazacorte;25
Gran Canaria;Tasartico;100
Tenerife;La Cisnera;40
Lanzarote;Costa Teguise;1396
Gran Canaria;Temisas;5
Fuerteventura;Gran Tarajal;540
Tenerife;Agua-García;30
Tenerife;Chimiche;20
Lanzarote;Las Breñas;25
Gran Canaria;Playa del Inglés;1385
La Palma;Los Sauces;100
Tenerife;La Cuesta;5
Tenerife;Araya;10
Fuerteventura;Puerto de las Lajas;10
Lanzarote;Puerto del Carmen;1331
Lanzarote;Charco del Palo;30
Gran Canaria;Agua de Fontanales;190
Tenerife;Tacoronte;1025
Tenerife;Palm-Mar;430
Tenerife;Arafo;248
La Palma;El Remo;70
Gran Canaria;Meloneras;291
El Hierro;Tigaday;65
Gran Canaria;Santa Brígida;552
Gran Canaria;Tenteniguada;160
Tenerife;Tijoco de Abajo;155
Tenerife;Caleta de Interián;105
La Gomera;Agulo;325
Gran Canaria;Arguineguín;50
La Palma;Tajuya;25
Tenerife;La Concepción;5
Tenerife;Tejina;209
Gran Canaria;Las Puntillas;20
Fuerteventura;Antigua;114
Lanzarote;Tabayesco;100
La Palma;Puerto Naos;1190
Fuerteventura;El Charco;170
Tenerife;Icod el Alto;40
La Gomera;El Cercado;100
El Hierro;Isora;239
La Palma;Tigalate;19
Tenerife;Bocacangrejo;35
El Hierro;La Restinga;2174
Lanzarote;Tías;430
Gran Canaria;Patalavaca;145
Gran Canaria;San Agustín;150
Tenerife;La Esperanza;115
Lanzarote;Tao;20
Gran Canaria;Ojos de Garza;10
Tenerife;San Juan del Reparo;95
La Graciosa;Caleta de Sebo;2419
Tenerife;Guía de Isora;285
El Hierro;Casas del Monte;15
Tenerife;Puerto de la Cruz;4504
Lanzarote;Órzola;35
Tenerife;Las Eras;240
Tenerife;Charco del Pino;70
Gran Canaria;Trapiche;25
Gran Canaria;Ingenio;260
Gran Canaria;Playa de Arguineguín;200
Lanzarote;Máguez;25
Tenerife;San Andrés;180
Lanzarote;El Mojón;5
El Hierro;Puerto de la Estaca;30
Gran Canaria;Teror;918
Fuerteventura;Parque Holandes;175
Tenerife;Las Toscas;20
Gran Canaria;Guanarteme;149
Tenerife;Guargacho;5
Fuerteventura;Corralejo;3581
Tenerife;Garachico;1006
Fuerteventura;Tefía;139
Gran Canaria;El Chorrillo;100
La Gomera;Vallehermoso;785
Gran Canaria;Tenoya;5
Tenerife;El Rincón;5
Tenerife;Bajamar;720
El Hierro;La Frontera;2041
Gran Canaria;Los Caideros;15
Lanzarote;Teguise;162
La Palma;Buenavista de Abajo;35
La Palma;Fuencaliente de La Palma;335
Gran Canaria;Gáldar;542
Tenerife;Chío;10
Tenerife;Chio;5
Tenerife;Sabina Alta;10
Fuerteventura;Villaverde;255
Gran Canaria;La Estrella;5
Fuerteventura;Pájara;105
Gran Canaria;Playa del Burrero;90
Tenerife;Los Abrigos;240
El Hierro;Echedo;154
Gran Canaria;Santa Lucía;48
Gran Canaria;Vecindario;717
Gran Canaria;Carrizal;85
Lanzarote;Playa Quemada;15
Tenerife;Las Manchas;95
Gran Canaria;Playa de Tasarte;210
Tenerife;Igueste;30
Tenerife;Tegueste;206
Gran Canaria;Sardina;185
Gran Canaria;Playa del Hombre;75